coords,Snout_x,Snout_y,LFL_x,LFL_y,RFL_x,RFL_y,LHL_x,LHL_y,RHL_x,RHL_y,Tailtip_x,Tailtip_y
1,111.1864631,205.3634443,89.97808146,208.5541923,36.43009377,213.9411985,9.332526684,213.2274948,2.325443983,202.8769765,-2.247102261,203.9098877
2,111.3125823,205.517766,89.34993577,208.5793972,37.27036893,214.0291991,10.46283531,212.9183247,2.664834619,202.6047893,-3.060713291,203.9588565
3,112.6895876,205.6250257,88.25782347,208.9061401,37.63793385,213.7454388,10.40424132,213.3839875,26.02019477,208.7252436,-3.206540585,204.3385176
4,112.6957023,205.6400833,88.41840863,208.9287083,37.66166377,213.7627254,10.4342401,213.3537194,26.07118237,208.7325492,-3.200118542,204.3343144
5,115.0975882,205.4744129,82.78984761,207.2455881,37.46193147,213.8166516,9.631474733,212.9863552,26.07906139,208.442112,-3.384438038,203.756443
6,115.0975882,205.4744129,82.78984761,207.2455881,37.46193147,213.8166516,9.631474733,212.9863552,26.07906139,208.442112,-3.384438038,203.756443
7,117.6558524,204.2885351,47.37848639,211.9346285,38.21219921,214.0866609,7.634160042,213.938287,2.544253111,202.8831391,132.2942924,203.1011435
8,117.7379549,204.3146553,47.93323493,211.7365851,38.16051316,214.0920362,7.563463688,213.8521378,2.571658254,202.8365231,132.4156246,203.1366795
9,119.6431582,203.3467088,9.70291996,213.7472938,38.76677823,214.0836933,6.836654186,213.668246,2.988187551,202.2324467,133.5135446,202.1550093
10,119.6364007,203.4144025,9.441516876,213.9638094,38.56836629,214.0212302,6.707498074,213.8671643,27.25628895,207.5859864,133.4391975,202.2239133
11,121.4781308,202.4687738,94.56725121,205.5167246,39.00299263,214.6025586,5.322961807,213.7708452,27.55081013,207.3328733,134.0391607,200.6388018
12,121.4774065,202.4950647,94.50471115,205.576432,38.96226048,214.3595409,5.805903912,213.7326866,27.2950868,207.157546,134.060781,200.6530089
13,123.1107225,201.8338561,94.84623289,205.1548436,38.7414546,214.1695466,6.087650776,213.2212722,26.71649349,207.3567948,134.2601981,200.4291396
14,123.1107225,201.8338561,94.84623289,205.1548436,38.7414546,214.1695466,6.087650776,213.2212722,26.71649349,207.3567948,134.2601981,200.4291396
15,124.8941526,201.2046461,96.67182922,204.6209543,38.55327821,214.4710605,6.776461601,213.939369,24.78572369,208.4907753,-2.645658493,204.0184612
16,125.1689532,201.0105181,96.39874196,204.8458471,38.54298258,214.4808912,6.84069252,213.9626969,24.77677679,208.5022776,-2.661364555,204.0387755
17,127.905875,200.5597701,111.2797236,205.7438493,38.79768777,214.308346,6.775124073,214.6058719,3.530303299,202.7617483,-1.907064915,203.2030647
18,127.905875,200.5597701,111.2797236,205.7438493,38.79768777,214.308346,6.775124073,214.6058719,3.530303299,202.7617483,-1.907064915,203.2030647
19,130.1371169,199.5709839,109.8945876,208.8810449,39.05386758,214.0564456,11.47217083,213.2065135,4.084698156,202.6785483,0.452073574,194.3227167
20,130.1363869,199.5699615,109.8978833,208.8838449,39.05074596,214.0547292,11.47164845,213.2050463,4.086155012,202.6788898,0.452647924,194.3223397
